Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Africa,Windhoek,Namibia,V53W   C,V53W   G,145.7,DUP-,0.6,DV,,,YES,Approximate,-22.65,17.18,+1:00
1,Africa,Pretoria,South Af,ZS0JPL B,ZS0JPL G,438.2625,DUP-,7.6,DV,,,YES,Approximate,-25.73,28.27,+2:00
1,Africa,Pretoria,South Af,ZS6MRK B,ZS6MRK G,438.275,DUP-,7.6,DV,,,YES,Approximate,-25.68,27.99,+2:00
1,Africa,Pretoria,South Af,ZS6VTS B,ZS6VTS G,438.25,DUP-,7.6,DV,,,YES,Approximate,-25.75,28.29,+2:00
1,Africa,Sandton,South Af,ZS6STN C,ZS6STN G,145.5875,DUP-,0.6,DV,,,YES,Approximate,-26.1,28.06,+2:00
1,Africa,Busan,Korea- R,DS0TQ  B,DS0TQ  G,439.2,DUP-,5,DV,,,YES,Approximate,35.17,129.1,+9:00
1,Africa,Ulsan,Korea- R,6M0UM  B,6M0UM  G,439.5,DUP-,5,DV,,,YES,Approximate,35.66,129.34,+9:00
2,Asia,Dalian,China,BG2YF  B,BG2YF  G,438.9,DUP-,7.6,DV,,,YES,Approximate,38.56,121.38,+8:00
2,Asia,Shenyang,China,BR2RSY B,BR2RSY G,439.625,DUP-,7,DV,,,YES,Approximate,41.94,123.44,+8:00
2,Asia,Shenyang,China,BR2SY  B,BR2SY  G,439.7,DUP-,5,DV,,,YES,Approximate,41.79,123.36,+8:00
2,Asia,Shenyang- Liaoni,China,BR2RSA B,BR2RSA G,439.725,DUP-,5,DV,,,YES,Approximate,41.79,123.36,+4:30
2,Asia,Troodos Mt.,Cyprus,5B4CY  C,5B4CY  G,145.6375,DUP-,0.6,DV,,,YES,Approximate,34.94,32.86,+2:00
2,Asia,Taoyuan,Taiwan,BX3AH  C,BX3AH  G,144.3375,DUP+,2,DV,,,YES,Approximate,24.99,121.31,+8:00
2,Asia,Taoyuan,Taiwan,BX3AH  B,BX3AH  G,433.3375,DUP+,6,DV,,,YES,Approximate,24.99,121.31,+8:00
2,Asia,Taoyuan,Taiwan,BX4ACB C,BX4ACB G,144.3375,DUP+,2,DV,,,YES,Approximate,24.99,121.31,+8:00
2,Asia,Bangkok,Thailand,E24DA  B,E24DA  G,438.0125,DUP-,5,DV,,,YES,Approximate,13.79,100.56,+7:00
2,Asia,Bangkok,Thailand,E24DA  C,E24DA  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,13.79,100.56,+7:00
2,Asia,Chiang Mai,Thailand,E24DG  C,E24DG  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,18.83,99.01,+7:00
2,Asia,Chiang Mai,Thailand,E24DG  B,E24DG  G,438.0125,DUP-,5,DV,,,YES,Approximate,18.83,99.01,+7:00
2,Asia,Chonburi,Thailand,E24DC  C,E24DC  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,13.2,100.95,+7:00
2,Asia,Chonburi,Thailand,E24DC  B,E24DC  G,438.0125,DUP-,5,DV,,,YES,Approximate,13.2,100.95,+7:00
2,Asia,Maha Sarakham,Thailand,E24DE  C,E24DE  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,16.17,103.33,+7:00
2,Asia,Maha Sarakham,Thailand,E24DE  B,E24DE  G,438.0125,DUP-,5,DV,,,YES,Approximate,16.17,103.33,+7:00
2,Asia,Pathum Thani,Thailand,E24DB  C,E24DB  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,14.04,100.61,+7:00
2,Asia,Pathum Thani,Thailand,E24DB  B,E24DB  G,438.0125,DUP-,5,DV,,,YES,Approximate,14.04,100.61,+7:00
2,Asia,Phitsanulok,Thailand,E24DF  C,E24DF  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,16.89,100.71,+7:00
2,Asia,Phitsanulok,Thailand,E24DF  B,E24DF  G,438.0125,DUP-,5,DV,,,YES,Approximate,16.89,100.71,+7:00
2,Asia,Phuket,Thailand,E24DJ  C,E24DJ  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,7.88,98.37,+7:00
2,Asia,Phuket,Thailand,E24DJ  B,E24DJ  G,438.0125,DUP-,5,DV,,,YES,Approximate,7.88,98.37,+7:00
2,Asia,Ranong,Thailand,E24DH  C,E24DH  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,10.04,98.68,+7:00
2,Asia,Ranong,Thailand,E24DH  B,E24DH  G,438.0125,DUP-,5,DV,,,YES,Approximate,10.04,98.68,+7:00
2,Asia,Songkhla,Thailand,E24DI  C,E24DI  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,7.01,100.51,+7:00
2,Asia,Songkhla,Thailand,E24DI  B,E24DI  G,438.0125,DUP-,5,DV,,,YES,Approximate,7.01,100.51,+7:00
2,Asia,Surin,Thailand,E24DD  C,E24DD  G,145.6125,DUP-,0.6,DV,,,YES,Approximate,14.89,103.51,+7:00
2,Asia,Surin,Thailand,E24DD  B,E24DD  G,438.0125,DUP-,5,DV,,,YES,Approximate,14.89,103.51,+7:00
2,Asia,istanbul,Turkey,TB1HEC A,TB1HEC G,145.375,DUP-,0,DV,,,YES,Approximate,41.08,28.9,+2:00
2,Asia,sharjah,United A,A62A   C,A62A   G,145.7875,DUP-,1,DV,,,YES,Approximate,25.28,55.59,+4:00
3,Australia,Canberra,Australi,VK1RWN C,VK1RWN G,146.6625,DUP-,0.6,DV,,,YES,Approximate,-35.36,149.12,+10:00
3,Australia,Mt Tamborine,Australi,VK4RDK B,VK4RDK G,438.3125,DUP-,5.4,DV,,,YES,Approximate,-27.99,153.19,+10:00
3,Australia,Wongawallan,Australi,VK4RDW B,VK4RDW G,438.35,DUP-,5.4,DV,,,YES,Approximate,-27.88,153.26,+10:00
3,Australia,Gosford / Wyong,New Sout,VK2RAG B,VK2RAG G,438.325,DUP-,5.4,DV,,,YES,Approximate,-33.36,151.3,+10:00
3,Australia,Gosford / Wyong,New Sout,VK2RAG C,VK2RAG G,146.6375,DUP-,0.6,DV,,,YES,Approximate,-33.36,151.3,+10:00
3,Australia,North Sydney,New Sout,VK2RWN C,VK2RWN G,146.9625,DUP-,0.6,DV,,,YES,Approximate,-33.69,151.23,+10:00
3,Australia,North Sydney,New Sout,VK2RWN B,VK2RWN G,438.4,DUP-,5.4,DV,,,YES,Approximate,-33.69,151.23,+10:00
3,Australia,Sydney,New Sout,VK2RBV B,VK2RBV G,438.775,DUP-,5,DV,,,YES,Approximate,-33.87,151.27,+10:00
3,Australia,Wyee,New Sout,VK2RHK B,VK2RHK G,438.125,DUP-,5.4,DV,,,YES,Approximate,-33.18,151.5,+10:00
3,Australia,Darwin,Northern,VK8RAD B,VK8RAD G,438.75,DUP-,5,DV,,,YES,Approximate,-12.46,130.85,+9:30
3,Australia,Darwin,Northern,VK8RAD C,VK8RAD G,146.7,DUP-,0.6,DV,,,YES,Approximate,-12.46,130.85,+9:30
3,Australia,BLACKWATER,Queensla,VK4RBD C,VK4RBD G,146.6375,DUP-,0.6,DV,,,YES,Approximate,-23.77,149.12,+10:00
3,Australia,Cairns City Area,Queensla,VK4RCN B,VK4RCN G,438.325,DUP-,5.4,DV,,,YES,Approximate,-16.92,145.74,+10:00
3,Australia,Ipswich,Queensla,VK4RBX C,VK4RBX G,146.7875,DUP-,0.6,DV,,,YES,Approximate,-27.5,152.6,+10:00
3,Australia,Laidley Heights,Queensla,VK4TUX C,VK4TUX G,144.7,DUP-,0,DV,,,YES,Approximate,-27.63,152.36,+10:00
3,Australia,Laidley Heights,Queensla,VK4TUX B,VK4TUX G,435,DUP-,5,DV,,,YES,Approximate,-27.63,152.36,+10:00
3,Australia,Landsborough,Queensla,VK4RDS C,VK4RDS G,146.7375,DUP-,0.6,DV,,,YES,Approximate,-26.77,152.92,+10:00
3,Australia,Landsborough,Queensla,VK4RDS B,VK4RDS G,438.6,DUP-,5,DV,,,YES,Approximate,-26.77,152.92,+10:00
3,Australia,Mackay,Queensla,VK4RBY B,VK4RBY G,438.6,DUP-,5,DV,,,YES,Approximate,-21.06,149.1,+10:00
3,Australia,Mackay,Queensla,VK4RBY C,VK4RBY G,146.65,DUP-,0.6,DV,,,YES,Approximate,-21.06,149.1,+10:00
3,Australia,Sarina,Queensla,VK4RSA C,VK4RSA G,147.075,DUP+,0.6,DV,,,YES,Approximate,-21.49,149.17,+10:00
3,Australia,Sarina,Queensla,VK4RUS B,VK4RUS G,438.45,DUP-,5,DV,,,YES,Approximate,-21.39,149.24,+10:00
3,Australia,Toowoomba,Queensla,VK4RTQ B,VK4RTQ G,439.4875,DUP-,5,DV,,,YES,Approximate,-27.3,151.58,+10:00
3,Australia,Wamuran,Queensla,VK4RRC B,VK4RRC G,438.675,DUP-,7,DV,,,YES,Approximate,-27.03,152.83,+10:00
3,Australia,Adelaide,South Au,VK5RWN B,VK5RWN G,438.4,DUP-,5.4,DV,,,YES,Approximate,-34.81,138.75,+9:30
3,Australia,Adelaide,South Au,VK5RWN C,VK5RWN G,147.0375,DUP+,0.6,DV,,,YES,Approximate,-34.81,138.75,+9:30
3,Australia,Moorook,South Au,VK5RLD B,VK5RLD G,438.9125,DUP-,0,DV,,,YES,Approximate,-34.25,140.35,+9:30
3,Australia,Moorook,South Au,VK5RLD C,VK5RLD G,145.1375,DUP-,0,DV,,,YES,Approximate,-34.25,140.35,+9:30
3,Australia,Port Lincon,South Au,VK5REX B,VK5REX G,438.225,DUP-,5.4,DV,,,YES,Approximate,-34.7,135.83,+9:30
3,Australia,Hobart,Tasmania,VK7RCR C,VK7RCR G,146.9625,DUP-,1.6,DV,,,YES,Approximate,-42.86,147.28,+10:00
3,Australia,Wynyard,Tasmania,VK7RAC B,VK7RAC G,438.7,DUP-,7,DV,,,YES,Approximate,-40.95,145.73,+11:00
3,Australia,Melbourne,Victoria,VK3RMC C,VK3RMC G,146.7625,DUP-,0.6,DV,,,YES,Approximate,-38,145.33,+10:00
3,Australia,Melbourne,Victoria,VK3RMC B,VK3RMC G,438.125,DUP-,5.4,DV,,,YES,Approximate,-38,145.33,+10:00
3,Australia,Melbourne,Victoria,VK3RMM B,VK3RMM G,438.05,DUP-,5.4,DV,,,YES,Approximate,-37.38,144.58,+10:00
3,Australia,Melbourne,Victoria,VK3RWN B,VK3RWN G,438.3,DUP-,5.4,DV,,,YES,Approximate,-37.85,145.37,+10:00
3,Australia,Melbourne,Victoria,VK3RWN C,VK3RWN G,146.9125,DUP-,0.6,DV,,,YES,Approximate,-37.85,145.37,+10:00
3,Australia,Shepparton,Victoria,VK3RGV B,VK3RGV G,438.2,DUP-,5.4,DV,,,YES,Approximate,-36.85,145.68,+10:00
3,Australia,Fremantle,Western,VK6ROX B,VK6ROX G,438.125,DUP-,5.4,DV,,,YES,Approximate,-32.04,115.78,+8:00
3,Australia,Perth,Western,VK6RWN B,VK6RWN G,438.175,DUP-,5.4,DV,,,YES,Approximate,-31.99,116.07,+8:00
3,Australia,Perth,Western,VK6RWN C,VK6RWN G,146.8375,DUP-,0.6,DV,,,YES,Approximate,-31.99,116.07,+8:00
3,Australia,Perth Sth Suburb,Western,VK6RLX B,VK6RLX G,438.15,DUP-,5.4,DV,,,YES,Approximate,-32.06,115.98,+8:00
3,Australia,Perth Sth Suburb,Western,VK6RLX C,VK6RLX G,146.8625,DUP-,1.6,DV,,,YES,Approximate,-32.06,115.98,+8:00
4,Canada,Calgary,Alberta,VA6ACW C,VA6ACW G,145.65,DUP-,0,DV,,,YES,Approximate,51.13,-114.25,-7:00
4,Canada,Calgary,Alberta,VA6ACW B,VA6ACW G,445.85,DUP-,0,DV,,,YES,Approximate,51.13,-114.25,-7:00
4,Canada,Calgary,Alberta,VE6GHZ B,VE6GHZ G,444.95,DUP+,5,DV,,,YES,Approximate,51.14,-114.16,-7:00
4,Canada,Calgary,Alberta,VE6GHZ C,VE6GHZ G,147.09,DUP+,0.6,DV,,,YES,Approximate,51.14,-114.16,-7:00
4,Canada,Calgary,Alberta,VE6IPG B,VE6IPG G,444.9625,DUP+,5,DV,,,YES,Approximate,50.97,-114.07,-7:00
4,Canada,Calgary,Alberta,VE6IPG C,VE6IPG G,147.285,DUP+,0.6,DV,,,YES,Approximate,50.97,-114.07,-7:00
4,Canada,Edmonton,Alberta,VE6BHX B,VE6BHX G,440.75,DUP+,5,DV,,,YES,Approximate,53.47,-113.41,-7:00
4,Canada,Edmonton,Alberta,VE6KM  C,VE6KM  G,145.47,DUP-,0.6,DV,,,YES,Approximate,53.53,-113.34,-7:00
4,Canada,Edmonton,Alberta,VE6KM  B,VE6KM  G,444.9,DUP+,5,DV,,,YES,Approximate,53.53,-113.34,-7:00
4,Canada,Medicine Hat,Alberta,VA6SRG B,VA6SRG G,444.8,DUP+,5,DV,,,YES,Approximate,49.97,-110.58,-7:00
4,Canada,Medicine Hat,Alberta,VE6MHD B,VE6MHD G,445.9,DUP-,0,DV,,,YES,Approximate,50.01,-110.63,-7:00
4,Canada,St.Albert,Alberta,VE6JKB B,VE6JKB G,444.25,DUP+,5,DV,,,YES,Approximate,53.64,-113.67,-7:00
4,Canada,Chilliwack,British,VE7RCK B,VE7RCK G,444.625,DUP+,5,DV,,,YES,Approximate,49.11,-121.9,-8:00
4,Canada,Chilliwack,British,VE7RCK C,VE7RCK G,145.06,DUP+,0.6,DV,,,YES,Approximate,49.11,-121.9,-8:00
4,Canada,Delta,British,VE7SUN B,VE7SUN G,440.725,DUP+,5,DV,,,YES,Approximate,49.16,-122.9,-8:00
4,Canada,Kelowna,British,VA7DIG C,VA7DIG G,145.03,DUP+,0.6,DV,,,YES,Approximate,49.88,-119.46,-8:00
4,Canada,Kelowna,British,VA7DIG B,VA7DIG G,440.95,DUP+,5,DV,,,YES,Approximate,49.88,-119.46,-8:00
4,Canada,Maple Ridge,British,VE7RMR B,VE7RMR G,440.8,DUP+,5,DV,,,YES,Approximate,49.21,-122.51,-8:00
4,Canada,Mt Seymour,British,VE7RAG B,VE7RAG G,443.4,DUP+,5,DV,,,YES,Approximate,49.37,-122.95,-8:00
4,Canada,Mt Seymour,British,VE7RAG C,VE7RAG G,147.02,DUP+,0.6,DV,,,YES,Approximate,49.37,-122.95,-8:00
4,Canada,Richmond,British,VA7REF C,VA7REF G,144.93,DUP-,0,DV,,,YES,Approximate,49.18,-122.96,-8:00
4,Canada,Vancouver,British,VA7ICM B,VA7ICM G,442,DUP+,5,DV,,,YES,Approximate,49.19,-122.83,-8:00
4,Canada,Vancouver,British,VA7ICM C,VA7ICM G,145.04,DUP+,0.6,DV,,,YES,Approximate,49.19,-122.83,-8:00
4,Canada,Victoria,British,VE7VIC C,VE7VIC G,145.08,DUP+,0.6,DV,,,YES,Approximate,48.5,-123.5,-8:00
4,Canada,Winnipeg,Manitoba,VE4UMR B,VE4UMR G,443.275,DUP+,5,DV,,,YES,Approximate,49,-96.44,-6:00
4,Canada,Winnipeg,Manitoba,VE4WDR B,VE4WDR G,444.575,DUP+,5,DV,,,YES,Approximate,49.88,-97.15,-6:00
4,Canada,Winnipeg,Manitoba,VE4WDR C,VE4WDR G,145.49,DUP-,0.6,DV,,,YES,Approximate,49.88,-97.15,-6:00
4,Canada,St Johns,Newfound,VO1TZ  C,VO1TZ  G,145.09,DUP+,0.6,DV,,,YES,Approximate,47.53,-52.84,--:--
4,Canada,St Johns,Newfound,VO1TZ  B,VO1TZ  G,443.4,DUP+,5,DV,,,YES,Approximate,47.53,-52.84,--:--
4,Canada,Antigonish,Nova Sco,VE1JSR B,VE1JSR G,441.8,DUP+,5,DV,,,YES,Approximate,45.62,-61.97,-2:00
4,Canada,Almonte,Ontario,VA3AAR C,VA3AAR G,145.55,DUP-,0.6,DV,,,YES,Approximate,45.17,-76.29,-5:00
4,Canada,Almonte,Ontario,VA3AAR B,VA3AAR G,444.1,DUP+,5,DV,,,YES,Approximate,45.17,-76.29,-5:00
4,Canada,Blenheim,Ontario,VA3IBA C,VA3IBA G,145.79,DUP-,0,DV,,,YES,Approximate,42.34,-81.98,-5:00
4,Canada,Burlington,Ontario,VE3RSB B,VE3RSB G,442.0375,DUP+,5,DV,,,YES,Approximate,43.36,-79.86,-5:00
4,Canada,Cornwall,Ontario,VA3SDG C,VA3SDG G,145.57,DUP-,0.6,DV,,,YES,Approximate,45.04,-74.74,-5:00
4,Canada,Cornwall,Ontario,VA3SDG B,VA3SDG G,444.45,DUP+,5,DV,,,YES,Approximate,45.04,-74.74,-5:00
4,Canada,Fonthill- ON,Ontario,VE3PLF B,VE3PLF G,444.725,DUP+,5,DV,,,YES,Approximate,43.05,-79.3,-5:00
4,Canada,Hamilton,Ontario,VE3WIK B,VE3WIK G,443.6375,DUP+,5,DV,,,YES,Approximate,43.39,-79.97,-5:00
4,Canada,Hamilton,Ontario,VE3WIK C,VE3WIK G,145.33,DUP-,0.6,DV,,,YES,Approximate,43.39,-79.97,-5:00
4,Canada,Leamington,Ontario,VE3LNK C,VE3LNK G,145.69,DUP-,0,DV,,,YES,Approximate,42.06,-82.6,-5:00
4,Canada,Little Current,Ontario,VE3RXR C,VE3RXR G,145.31,DUP-,0.6,DV,,,YES,Approximate,45.96,-81.93,-5:00
4,Canada,Little Current,Ontario,VE3RXR B,VE3RXR G,442.05,DUP+,5,DV,,,YES,Approximate,45.96,-81.93,-5:00
4,Canada,London,Ontario,VE3TTT B,VE3TTT G,442.3,DUP+,5,DV,,,YES,Approximate,42.99,-81.24,-5:00
4,Canada,Maple,Ontario,VA3ITL B,VA3ITL G,442.2125,DUP+,5,DV,,,YES,Approximate,44.11,-79.19,-5:00
4,Canada,Maple,Ontario,VE3LEO C,VE3LEO G,144.3,DUP-,0,DV,,,YES,Approximate,44.19,-79.32,-5:00
4,Canada,Maple,Ontario,VE3LEO B,VE3LEO G,446,DUP-,0,DV,,,YES,Approximate,44.19,-79.32,-5:00
4,Canada,Milverton,Ontario,VE3NMN C,VE3NMN G,147.415,DUP-,0,DV,,,YES,Approximate,43.57,-80.91,-5:00
4,Canada,Milverton,Ontario,VE3NMN B,VE3NMN G,438.1,DUP-,0,DV,,,YES,Approximate,43.57,-80.91,-5:00
4,Canada,Mississauga,Ontario,VA3PMO B,VA3PMO G,444.25,DUP+,5,DV,,,YES,Approximate,43.59,-79.64,-5:00
4,Canada,Mississauga,Ontario,VE3RSD C,VE3RSD G,147.54,DUP-,0,DV,,,YES,Approximate,43.6,-79.78,-5:00
4,Canada,Mississauga,Ontario,VE3RSD B,VE3RSD G,443.8125,DUP+,5,DV,,,YES,Approximate,43.6,-79.78,-5:00
4,Canada,Mt.St. Patrick,Ontario,VE3STP C,VE3STP G,147.54,DUP-,0,DV,,,YES,Approximate,45.31,-76.9,-5:00
4,Canada,Mt.St. Patrick,Ontario,VE3STP B,VE3STP G,443.8125,DUP+,5,DV,,,YES,Approximate,45.31,-76.9,-5:00
4,Canada,Newmarket,Ontario,VE3YRK C,VE3YRK G,147.18,DUP+,0.6,DV,,,YES,Approximate,44.06,-79.45,-5:00
4,Canada,Newmarket,Ontario,VE3YRK B,VE3YRK G,444.5125,DUP+,5,DV,,,YES,Approximate,44.06,-79.45,-5:00
4,Canada,Niagara on the L,Ontario,VA3YYZ C,VA3YYZ G,144.93,DUP+,0.6,DV,,,YES,Approximate,43.22,-79.13,-5:00
4,Canada,Niagara on the L,Ontario,VA3YYZ B,VA3YYZ G,442.6875,DUP+,5,DV,,,YES,Approximate,43.22,-79.13,-5:00
4,Canada,Norfolk,Ontario,VE3HJ  B,VE3HJ  G,444.55,DUP+,5,DV,,,YES,Approximate,42.93,-80.28,-5:00
4,Canada,Ottawa,Ontario,VA3ODG B,VA3ODG G,444.85,DUP+,5,DV,,,YES,Approximate,45.42,-75.68,-5:00
4,Canada,Ottawa,Ontario,VA3ODG C,VA3ODG G,145.53,DUP-,0.6,DV,,,YES,Approximate,45.42,-75.68,-5:00
4,Canada,Ottawa,Ontario,VE3FSR B,VE3FSR G,445.86,DUP-,0,DV,,,YES,Approximate,45.29,-75.84,-5:00
4,Canada,Phelpston,Ontario,VE3RIG B,VE3RIG G,442.05,DUP+,5,DV,,,YES,Approximate,44.52,-79.84,-5:00
4,Canada,Sault Ste. Marie,Ontario,VA3SNR C,VA3SNR G,145.21,DUP-,0.6,DV,,,YES,Approximate,46.55,-84.32,-5:00
4,Canada,Simcoe County,Ontario,VE3LSR C,VE3LSR G,145.19,DUP-,0.6,DV,,,YES,Approximate,44.54,-79.66,-5:00
4,Canada,Simcoe County,Ontario,VE3LSR B,VE3LSR G,444.35,DUP+,5,DV,,,YES,Approximate,44.54,-79.66,-5:00
4,Canada,St Catharines,Ontario,VE3NUU B,VE3NUU G,443.8375,DUP+,5,DV,,,YES,Approximate,43.24,-79.21,-5:00
4,Canada,Stittsville,Ontario,VA3HOA B,VA3HOA G,445.84,DUP+,5,DV,,,YES,Approximate,45.28,-75.91,-5:00
4,Canada,Sudbury,Ontario,VA3SRG C,VA3SRG G,147.09,DUP+,0.6,DV,,,YES,Approximate,46.5,-81,-5:00
4,Canada,Thornhill,Ontario,VE3EBX B,VE3EBX G,444,DUP-,0,DV,,,YES,Approximate,43.8,-79.55,-5:00
4,Canada,Timmins,Ontario,VE3TIR C,VE3TIR G,147.21,DUP+,0.6,DV,,,YES,Approximate,48.48,-81.33,-5:00
4,Canada,Toronto,Ontario,VA3DVN B,VA3DVN G,444.7375,DUP+,5,DV,,,YES,Approximate,43.7,-79.43,-5:00
4,Canada,Toronto,Ontario,VA3SLU B,VA3SLU G,442.4125,DUP+,5,DV,,,YES,Approximate,43.7,-79.43,-5:00
4,Canada,Toronto,Ontario,VE3YYZ B,VE3YYZ G,442.7,DUP+,5,DV,,,YES,Approximate,43.65,-79.38,-5:00
4,Canada,Toronto,Ontario,VE3YYZ C,VE3YYZ G,144.94,DUP+,0.6,DV,,,YES,Approximate,43.65,-79.38,-5:00
4,Canada,Whitechurch,Ontario,VE3WWD C,VE3WWD G,147.195,DUP-,0,DV,,,YES,Approximate,43.91,-81.43,-5:00
4,Canada,Windsor,Ontario,VA3WDG B,VA3WDG G,445.825,DUP-,0,DV,,,YES,Approximate,42.25,-82.96,-5:00
4,Canada,Windsor,Ontario,VE3ZIN B,VE3ZIN G,434.775,DUP-,0,DV,,,YES,Approximate,42.32,-82.97,-5:00
4,Canada,Charlottetown,Prince E,VE1UHF B,VE1UHF G,443.3,DUP+,5,DV,,,YES,Approximate,46.21,-63.22,-4:00
4,Canada,Charlottetown,Prince E,VE1UHF C,VE1UHF G,146.715,DUP-,0.6,DV,,,YES,Approximate,46.21,-63.22,-4:00
4,Canada,Kensington,Prince E,VY2DSR C,VY2DSR G,147.315,DUP+,0.6,DV,,,YES,Approximate,46.43,-63.63,-5:00
4,Canada,Alma,Quebec,VE2RVI B,VE2RVI G,442.65,DUP+,5,DV,,,YES,Approximate,48.6,-71.59,-5:00
4,Canada,Covey Hill,Quebec,VA2REX B,VA2REX G,448.325,DUP-,5,DV,,,YES,Approximate,45.02,-73.84,-5:00
4,Canada,Covey Hill,Quebec,VE2REX C,VE2REX G,145.59,DUP-,0.6,DV,,,YES,Approximate,45.02,-73.79,-5:00
4,Canada,Drummondville,Quebec,VA2XNY C,VA2XNY G,145.55,DUP-,0.6,DV,,,YES,Approximate,45.89,-73.52,-5:00
4,Canada,Gatineau,Quebec,VE2REG C,VE2REG G,147.18,DUP+,0.6,DV,,,YES,Approximate,45.56,-75.5,-5:00
4,Canada,Gatineau,Quebec,VE2REG B,VE2REG G,442.65,DUP+,5,DV,,,YES,Approximate,45.56,-75.5,-5:00
4,Canada,Gatineau,Quebec,VE2REH C,VE2REH G,147.54,DUP-,0,DV,,,YES,Approximate,43.6,-79.78,-5:00
4,Canada,Gatineau,Quebec,VE2REH B,VE2REH G,446.25,DUP-,5,DV,,,YES,Approximate,43.6,-79.78,-5:00
4,Canada,Mont St-Gregoire,Quebec,VA2RKA B,VA2RKA G,446.15,DUP-,5,DV,,,YES,Approximate,45.36,-73.14,-5:00
4,Canada,Mont-Orford,Quebec,VE2RTO B,VE2RTO G,442,DUP+,5,DV,,,YES,Approximate,45.32,-72.24,-5:00
4,Canada,Quebec City,Quebec,VE2RQT B,VE2RQT G,449.925,DUP-,5,DV,,,YES,Approximate,46.78,-71.27,-5:00
4,Canada,Quebec City,Quebec,VE2RQT C,VE2RQT G,144.95,DUP-,0.6,DV,,,YES,Approximate,46.78,-71.27,-5:00
4,Canada,Rigaud Mountain,Quebec,VE2RM  B,VE2RM  G,442.25,DUP+,5,DV,,,YES,Approximate,45.46,-74.29,-5:00
4,Canada,Rimouski,Quebec,VE2RKI C,VE2RKI G,144.95,DUP+,0.6,DV,,,YES,Approximate,48.44,-68.52,-5:00
4,Canada,Rougemont,Quebec,VE2RIO B,VE2RIO G,449.925,DUP-,5,DV,,,YES,Approximate,45.48,-73.07,-5:00
4,Canada,Rougemont,Quebec,VE2RIO C,VE2RIO G,145.53,DUP-,0.6,DV,,,YES,Approximate,45.48,-73.07,-5:00
4,Canada,Saint-Calixte,Quebec,VA2RKB C,VA2RKB G,145.51,DUP-,0.6,DV,,,YES,Approximate,45.98,-73.92,-5:00
4,Canada,Sherbrooke,Quebec,VA2RNJ B,VA2RNJ G,447.275,DUP-,5,DV,,,YES,Approximate,45.41,-71.88,-5:00
4,Canada,Sherbrooke,Quebec,VE2RQF C,VE2RQF G,147.06,DUP+,0.6,DV,,,YES,Approximate,45.42,-71.86,-5:00
4,Canada,Sorel,Quebec,VE2CST C,VE2CST G,146.985,DUP-,0.6,DV,,,YES,Approximate,46.05,-73.09,-5:00
4,Canada,Sorel,Quebec,VE2FCT B,VE2FCT G,446.25,DUP-,5,DV,,,YES,Approximate,46.05,-73.11,-5:00
4,Canada,St-Felix-de-Valo,Quebec,VA2RVB B,VA2RVB G,442.8,DUP+,5,DV,,,YES,Approximate,46.16,-73.44,-5:00
4,Canada,Trois-Rivieres,Quebec,VA2LX  B,VA2LX  G,448.675,DUP-,5,DV,,,YES,Approximate,46.36,-72.58,-5:00
4,Canada,Victoriarille,Quebec,VA2RVO C,VA2RVO G,145.57,DUP-,0.6,DV,,,YES,Approximate,46.06,-71.88,-5:00
4,Canada,Martensville,Saskatch,VE5MBX B,VE5MBX G,449.5,DUP-,5,DV,,,YES,Approximate,52.29,-106.66,-6:00
4,Canada,Saskatoon,Saskatch,VA5DR  B,VA5DR  G,448.125,DUP-,5,DV,,,YES,Approximate,52.14,-106.64,-6:00
4,Canada,Whitehorse,Yukon Te,VY1RDS C,VY1RDS G,146.84,DUP-,0.6,DV,,,YES,Approximate,60.76,-135.23,-8:00
4,Canada,Whitehorse,Yukon Te,VY1RDS B,VY1RDS G,443.975,DUP+,5,DV,,,YES,Approximate,60.76,-135.23,-8:00
5,Europe - Eastern,AHTOPOL,Bulgaria,LZ0DAF B,LZ0DAF G,438.45,DUP-,7.6,DV,,,YES,Approximate,42.12,27.86,+2:00
5,Europe - Eastern,BANSKO,Bulgaria,LZ0DAT B,LZ0DAT G,438.45,DUP-,7.6,DV,,,YES,Approximate,41.81,23.47,+2:00
5,Europe - Eastern,BREZNIK,Bulgaria,LZ0DAM B,LZ0DAM G,438.45,DUP-,7.6,DV,,,YES,Approximate,42.74,22.91,+2:00
5,Europe - Eastern,Breznik,Bulgaria,LZ0SDR B,LZ0SDR G,438.45,DUP-,7.6,DV,,,YES,Approximate,42.74,22.91,+2:00
5,Europe - Eastern,BURGAS,Bulgaria,LZ0DBS B,LZ0DBS G,439.6,DUP-,7.6,DV,,,YES,Approximate,42.51,27.47,+2:00
